Account Number: 9010242
"Share Holdings    As of 1:52:25 PM Sydney Time, 09 Jan 2022"
Code,Avail Units,Purchase $,Last $,Change $,Chg %,Profit/Loss $,P/L %,Mkt Value $,Wgt %,Value Chg $
CHESS
AKE,340,0.0,10.950,0.140,1.30,3723.00,0.00,3723.00,16.31,47.60
ARR,29166,0.0,0.175,0.005,2.94,5104.05,0.00,5104.05,22.36,145.83
BYE,8750,0.402,0.115,0.000,0.00,-2513.88,-71.41,1006.25,4.41,0.00
CAT,563,2.132,1.485,0.015,1.02,-364.37,-30.35,836.06,3.66,8.45
CTP,12903,0.157,0.112,0.002,1.82,-574.18,-28.43,1445.14,6.33,25.81
IPD,4000,0.505,0.180,0.000,0.00,-1300.00,-64.36,720.00,3.15,0.00
OKR,5633,0.359,0.385,-0.010,-2.53,147.02,7.27,2168.71,9.50,-56.33
SPA,10200,0.0,0.187,-0.003,-1.58,1907.40,0.00,1907.40,8.36,-30.60
STO,314,6.430,6.790,0.190,2.88,113.13,5.60,2132.06,9.34,59.66
SXL,877,2.305,1.835,0.005,0.27,-412.19,-20.39,1609.30,7.05,4.39
TLS,523,3.862,4.160,0.030,0.73,155.91,7.72,2175.68,9.53,15.69
Subtotal,,,,,,5985.89,35.54,22827.63,100.00,220.49
Issuer Sponsored Holdings
There are no Issuer Sponsored holdings on this account.
Total,,,,,,5985.89,35.54,22827.63,100.00,220.49
